Method,Dice,0.796494521
DFMNet,0.867487967,
DFMNet,0.895644092,
DFMNet,0.89906327,
DFMNet,0.88126027,
DFMNet,0.861496117,
DFMNet,0.872471649,
DFMNet,0.865303263,
DFMNet,0.884379583,
DFMNet,0.889085636,
DFMNet,0.926463254,
DFMNet,0.924395168,
DFMNet,0.912438741,
DFMNet,0.913288899,
DFMNet,0.905991117,
DFMNet,0.909751985,
DFMNet,0.894993904,
DFMNet,0.894601215,
DFMNet,0.918585476,
DFMNet,0.936001759,
DFMNet,0.92369989,
DFMNet,0.93014264,
DFMNet,0.929579073,
DFMNet,0.893502842,
DFMNet,0.933645688,
DFMNet,0.931098237,
DFMNet,0.932753164,
DFMNet,0.842779629,
DFMNet,0.87435504,
DFMNet,0.91080097,
DFMNet,0.90516879,
DFMNet,0.911208745,
DFMNet,0.890644753,
DFMNet,0.785614352,
DFMNet,0.88817127,
DFMNet,0.895291334,
DFMNet,0.877955843,
DFMNet,0.783616692,
DFMNet,0.889608728,
DFMNet,0.899731481,
DFMNet,0.902821316,
DFMNet,0.907307212,
DFMNet,0.904100304,
DFMNet,0.873886272,
DFMNet,0.884757244,
DFMNet,0.86483423,
DFMNet,0.862454515,
DFMNet,0.77547549,
DFMNet,0.907951805,
DFMNet,0.887871852,
DFMNet,0.881531296,
DFMNet,0.898293816,
DFMNet,0.901408449,
DFMNet,0.872465662,
DFMNet,0.857573472,
DFMNet,0.814187641,
DFMNet,0.845051665,
DFMNet,0.772016459,
DFMNet,0.895501728,
DFMNet,0.802919704,
DFMNet,0.841062224,
DFMNet,0.808335962,
DFMNet,0.827614376,
DFMNet,0.864563292,
DFMNet,0.915216419,
DFMNet,0.882096067,
DFMNet,0.821260579,
DFMNet,0.820908926,
DFMNet,0.796610168,
DFMNet,0.835864062,
DFMNet,0.86932185,
DFMNet,0.856273101,
DFMNet,0.835348835,
DFMNet,0.823346302,
DFMNet,0.87886504,
DFMNet,0.828098227,
DFMNet,0.825118162,
DFMNet,0.727093594,
DFMNet,0.945285616,
DFMNet,0.948145965,
DFMNet,0.94549364,
DFMNet,0.92837086,
DFMNet,0.920518896,
DFMNet,0.929547312,
DFMNet,0.943765069,
DFMNet,0.944338443,
DFMNet,0.943656664,
DFMNet,0.923402183,
DFMNet,0.713579221,
DFMNet,0.85631062,
DFMNet,0.885513361,
DFMNet,0.868722779,
DFMNet,0.872939053,
DFMNet,0.679361047,
DFMNet,0.796636561,
DFMNet,0.84207563,
DFMNet,0.832049614,
DFMNet,0.634762774,
DFMNet,0.777836689,
DFMNet,0.858364778,
DFMNet,0.904948937,
DFMNet,0.890040928,
DFMNet,0.879785089,
DFMNet,0.82592394,
DFMNet,0.804996951,
DFMNet,0.833333331,
DFMNet,0.832252605,
DFMNet,0.645757328,
DFMNet,0.825834537,
DFMNet,0.830297216,
DFMNet,0.878132113,
DFMNet,0.826787508,
DFMNet,0.836198176,
DFMNet,0.795592282,
DFMNet,0.86317222,
DFMNet,0.846076454,
DFMNet,0.841066136,
DFMNet,0.773063968,
DFMNet,0.850434422,
DFMNet,0.889784442,
DFMNet,0.895922093,
DFMNet,0.881589618,
DFMNet,0.897397546,
DFMNet,0.868012108,
DFMNet,0.882539682,
DFMNet,0.903984969,
DFMNet,0.868384038,
DFMNet,0.85442974,
DFMNet,0.534545451,
DFMNet,0.716049339,
DFMNet,0.689696959,
DFMNet,0.499999948,
DFMNet,0.652482223,
DFMNet,0.589999997,
DFMNet,0.431535252,
DFMNet,0.248061996,
DFMNet,0.236842074,
DFMNet,0.112684207,
DFMNet,0.4652348,
DFMNet,0.622448976,
DFMNet,0.570959798,
DFMNet,0.535211263,
DFMNet,0.632570655,
DFMNet,0.424006667,
DFMNet,0.519111756,
DFMNet,0.580753136,
DFMNet,0.462697811,
DFMNet,0.31632653,
DFMNet,0.882263261,
DFMNet,0.878972623,
DFMNet,0.899979556,
DFMNet,0.889547566,
DFMNet,0.883406028,
DFMNet,0.87470638,
DFMNet,0.894595644,
DFMNet,0.869923041,
DFMNet,0.872152398,
DFMNet,0.869312611,
DFMNet,0.756797597,
DFMNet,0.800718373,
DFMNet,0.81362446,
DFMNet,0.81236586,
DFMNet,0.803151527,
DFMNet,0.772021871,
DFMNet,0.785626627,
DFMNet,0.78486356,
DFMNet,0.767448471,
DFMNet,0.758238272,
DFMNet,0.925376981,
DFMNet,0.880543178,
DFMNet,0.855879462,
DFMNet,0.870429492,
DFMNet,0.892099635,
DFMNet,0.880691428,
DFMNet,0.945248997,
DFMNet,0.925690486,
DFMNet,0.807705363,
DFMNet,0.895362979,
DFMNet,0.550289011,
DFMNet,0.431007745,
DFMNet,0.450704218,
DFMNet,0.605647511,
DFMNet,0.449883445,
DFMNet,0.476139976,
DFMNet,0.667087007,
DFMNet,0.698324017,
DFMNet,0.438339436,
DFMNet,0.434100416,
DFMNet,0.806772704,
DFMNet,0.888648973,
DFMNet,0.901514444,
DFMNet,0.898977243,
DFMNet,0.902586027,
DFMNet,0.901797443,
DFMNet,0.895575592,
DFMNet,0.866424862,
DFMNet,0.875437019,
DFMNet,0.867369453,
DFMNet,0.864684552,
DFMNet,0.921205369,
DFMNet,0.92518904,
DFMNet,0.931506079,
DFMNet,0.927102831,
DFMNet,0.913207073,
DFMNet,0.915706671,
DFMNet,0.903556574,
DFMNet,0.902440282,
DFMNet,0.905498347,
DFMNet,0.938713553,
DFMNet,0.922132976,
DFMNet,0.929798838,
DFMNet,0.911906437,
DFMNet,0.921712258,
DFMNet,0.899688314,
DFMNet,0.920476221,
DFMNet,0.931266084,
DFMNet,0.93549307,
DFMNet,0.902072822,
DFMNet,0.886096255,
DFMNet,0.906787329,
DFMNet,0.874649578,
DFMNet,0.893979552,
DFMNet,0.903148425,
DFMNet,0.803645643,
DFMNet,0.903752408,
DFMNet,0.89486607,
DFMNet,0.85070729,
DFMNet,0.808584159,
DFMNet,0.889702127,
DFMNet,0.895018852,
DFMNet,0.916375777,
DFMNet,0.916330341,
DFMNet,0.900391717,
DFMNet,0.879453597,
DFMNet,0.903067107,
DFMNet,0.888905088,
DFMNet,0.860013577,
DFMNet,0.871979049,
DFMNet,0.889000753,
DFMNet,0.903079708,
DFMNet,0.903273807,
DFMNet,0.893524553,
DFMNet,0.895123579,
DFMNet,0.896801994,
DFMNet,0.896183204,
DFMNet,0.85416204,
DFMNet,0.874643873,
DFMNet,0.89660809,
DFMNet,0.850163457,
DFMNet,0.87615165,
DFMNet,0.884690918,
DFMNet,0.88863005,
DFMNet,0.88346755,
DFMNet,0.761479828,
DFMNet,0.853578853,
DFMNet,0.878455627,
DFMNet,0.826297577,
DFMNet,0.792658055,
DFMNet,0.85270092,
DFMNet,0.880932202,
DFMNet,0.874458872,
DFMNet,0.904422252,
DFMNet,0.889732319,
DFMNet,0.860143196,
DFMNet,0.861771056,
DFMNet,0.86423764,
DFMNet,0.866499884,
DFMNet,0.793725121,
DFMNet,0.844609659,
DFMNet,0.818974914,
DFMNet,0.86391251,
DFMNet,0.790331643,
DFMNet,0.848913039,
DFMNet,0.828996277,
DFMNet,0.839449535,
DFMNet,0.837160747,
DFMNet,0.861281332,
DFMNet,0.81836065,
DFMNet,0.865610517,
DFMNet,0.88485912,
DFMNet,0.89876491,
DFMNet,0.856417309,
DFMNet,0.88369126,
DFMNet,0.854786891,
DFMNet,0.880265811,
DFMNet,0.894105262,
DFMNet,0.889345525,
DFMNet,0.890518083,
DFMNet,0.468468426,
DFMNet,0.513012042,
DFMNet,0.133333244,
DFMNet,0.033898299,
DFMNet,0.626262563,
DFMNet,0.672131092,
DFMNet,0.422535152,
DFMNet,0.244444417,
DFMNet,0.223076919,
DFMNet,0.130769186,
DFMNet,0.542840374,
DFMNet,0.560161777,
DFMNet,0.557925069,
DFMNet,0.553341146,
DFMNet,0.642241376,
DFMNet,0.489905072,
DFMNet,0.662337661,
DFMNet,0.644522966,
DFMNet,0.524360465,
DFMNet,0.378485398,
